"phenotype","symbol"
"Supranuclear palsy, progressive, 3 (2)","PSNP3"
"{Leprosy, susceptibility to}, 607572 (3)","LPRS2"
"Deafness, autosomal recessive 18A, 602092 (3)","DFNB18A"
"{Preterm premature rupture of the membranes, susceptibility to}, 610504 (3)","OI10"
"?Amyloidosis, primary localized cutaneous, 2, 613955 (3)","GPL"
"Hyperprolinemia, type II, 239510 (3)","ALDH4"
"{Pancreatitis, chronic, protection against}, 167800 (3)","TRY2"
"Thrombocytopenia, X-linked, intermittent, 313900 (3)","IMD2"
"?Ullrich congenital muscular dystrophy 2, 616470 (3)","UCMD2"
"Leber congenital amaurosis 7, 613829 (3)","LCA7"
"[Skin/hair/eye pigmentation 5, dark/light eyes], 227240 (3)","AIM1"
"{Autism susceptibility 1} (2)","AUTS1"
"Diarrhea 5, with tufting enteropathy, congenital, 613217 (3)","TROP1"
"Symphalangism, proximal, 1B, 615298 (3)","OS5"
"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2, 610185 (3)","CAMRQ2"
"Deafness, autosomal dominant 20/26, 604717 (3)","DFNA20"
"Cataract 22, 609741 (3)","CRYB3"
"Osteogenesis imperfecta, type IX, 259440 (3)","PPIB"
"Brittle cornea syndrome 1, 229200 (3)","KIAA1858"
"Autoimmune lymphoproliferative syndrome, type IA, 601859 (3)","APT1"
"Epileptic encephalopathy, early infantile, 35, 616647 (3)","EIEE35"
"Sensorineural deafness with mild renal dysfunction, 602522 (3)","BSND"
"Periodontitis 1, juvenile, 170650 (3)","HMS"
"Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies, 617755 (3)","NEDDFL"
"Cerebral-cerebellar-coloboma syndrome, X-linked (2)","CCCSX"
"Spondylometaphyseal dysplasia, Kozlowski type, 184252 (3)","SSQTL1"
"Trichoepithelioma, multiple familial, 1, 601606 (3)","CYLD"
"Chromosome 2q31.1 duplication syndrome (4)","C2DUPq31.1"
"Spastic paraplegia 75, autosomal recessive, 616680 (3)","GMA"
"Albinism, oculocutaneous, type IA, 203100 (3)","OCA1A"
"Cataract 8, multiple types (2)","CCV"
"Senior-Loken syndrome 8, 616307 (3)","SRTD5"
"{Attention deficit-hyperactivity disorder, susceptibility to, 5} (2)","ADHD5"
"Peroxisome biogenesis disorder 6B, 614871 (3)","PBD6B"
"{Inflammatory bowel disease 17, protection against}, 612261 (3)","IL23R"
"Androgen insensitivity, partial, with or without breast cancer, 312300 (3)","SMAX1"
"Laron dwarfism, 262500 (3)","GHR"
"Night blindness, congenital stationary (complete), 1F, autosomal recessive, 615058 (3)","FIGLER4"
"Immunodeficiency, common variable, 13, 616873 (3)","ZNFN1A1"
"{Psoriasis susceptibility 9} (2)","PSORS9"
"Incontinentia pigmenti, 308300 (3)","EDAID1"
"Osteopetrosis, autosomal recessive 2, 259710 (3)","OPTB2"
"Odontoonychodermal dysplasia, 257980 (3)","WNT10A"
"{Coronary artery disease, autosomal dominant, 1}, 608320 (3)","MEF2A"
"Transaldolase deficiency, 606003 (3)","TALDO1"
"?Osteopetrosis, autosomal recessive 6, 611497 (3)","AP162"
"Anemia, sideroblastic, 3, pyridoxine-refractory, 616860 (3)","C14orf87"
"Limb-mammary syndrome, 603543 (3)","SHFM4"
"Pituitary hormone deficiency, combined, 1, 613038 (3)","POU1F1"
"{Pancreatic cancer, susceptibility to, 3}, 613348 (3)","PALB2"
"{Psoriatic arthritis, susceptibility to}, 607507 (2)","YAOS"
"Coenzyme Q10 deficiency, primary, 4, 612016 (3)","SCAR9"
"Spinocerebellar ataxia, autosomal recessive 14, 615386 (3)","SCA5"
"Cataract 24, anterior polar (2)","CTAA2"
"Hypochondroplasia, 146000 (3)","FGFR3"
"Leukemia, acute T-cell (2)","RBTNL1"
"Liddle syndrome, 618114 (3)","LDLS2"
"?Narcolepsy 1, 161400 (3)","OX"
"Perry syndrome, 168605 (3)","DCTN1"
"Corneal dystrophy, Thiel-Behnke type, 602082 (3)","CDGG1"
"Microcephaly 22, primary, autosomal recessive, 617984 (3)","CAPD3"
"{Lung cancer, resistance to}, 211980 (3)","CYP2A3"
"?Spermatogenic failure 30, 618110 (3)","HLS"
"{Amyotrophic lateral sclerosis, susceptibility to, 24}, 617892 (3)","SRPS2A"
"Joubert syndrome 8, 612291 (3)","ARL2L1"
"Urofacial syndrome 2, 615112 (3)","UFS2"
"Hypertrophic osteoarthropathy, primary, autosomal recessive 2, 614441 (3)","OATP2A1"
"Schinzel-Giedion midface retraction syndrome, 269150 (3)","MRD29"
"Thyroid carcinoma, follicular, somatic, 188470 (3)","NS6"
"{Lung cancer, susceptibility to}, 211980 (3)","TNFSF6"
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant, 181350 (3)","LMN1"
"Restrictive dermopathy, lethal, 275210 (3)","HGPS"
"{Neuroblastoma, susceptibility to, 7} (2)","NBLST7"
"{Dementia, vascular, susceptibility to} (3)","TNF"
"Cylindromatosis, familial, 132700 (3)","CDMT"
"Hydrocephalus, congenital, 3, with brain anomalies, 617967 (3)","CAMRQ2"
"Alpha-methylacyl-CoA racemase deficiency, 614307 (3)","AMACRD"
"Combined oxidative phosphorylation deficiency 3, 610505 (3)","COXPD3"
"CLAPO syndrome, somatic, 613089 (3)","MCM"
"De la Chapelle dysplasia, 256050 (3)","DTD"
"Microphthalmia, syndromic 6, 607932 (3)","MCOPS6"
"Myhre syndrome, 139210 (3)","MADH4"
"Thrombocythemia 2, 601977 (3)","TPOR"
"Mandibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome, 615381 (3)","CRCS10"
"De la Chapelle dysplasia, 256050 (3)","D5S1708"
"STAR syndrome, 300707 (3)","FAM58A"
"{Hypertension, insulin resistance-related, susceptibility to}, 125853 (3)","RETN"
"Hydrocephalus due to aqueductal stenosis, 307000 (3)","MASA"
"Hypotrichosis 2, 146520 (3)","CDSN"
"{Basal cell carcinoma 7}, 614740 (3)","BCC7"
"Brain tumor-polyposis syndrome 2, 175100 (3)","GS"
"Mental retardation-hypotonic facies syndrome, X-linked, 309580 (3)","XH2"
"?Pontocerebellar hypoplasia type 5, 610204 (3)","SEN54"
"Combined oxidative phosphorylation deficiency 18, 615578 (3)","COXPD18"
"Hypertrophic osteoarthropathy, primary, autosomal recessive 1, 259100 (3)","PHOAR1"
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 8, 614830 (3)","MDDGC8"
"Bamforth-Lazarus syndrome, 241850 (3)","NMTC4"
"Neuropathy, hereditary sensory, type ID, 613708 (3)","ATL1"
"Ciliary dyskinesia, primary, 6, 610852 (3)","CILD6"
"Erythrocytosis, familial, 4, 611783 (3)","HIF2A"
"Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2), 607483 (3)","THMD2"
"[Bone mineral density QTL 13] (2)","BMND13"
"{Stature QTL 7} (2)","STQTL7"
"McArdle disease, 232600 (3)","PYGM"
"Ventricular tachycardia, catecholaminergic polymorphic, 1, 604772 (3)","ARVC2"
"Cataract 14, multiple types, 601885 (3)","CZP3"
"Agammaglobulinemia 2, 613500 (3)","IGLL1"
"Microphthalmia, isolated 8, 615113 (3)","MCOP8"
"Glomerulosclerosis, focal segmental, 7, 616002 (3)","PAPRS"
"Chromosome 16p11.2 deletion syndrome, 220kb (4)","DEL16p.11.2"
"Galloway-Mowat syndrome 1, 251300 (3)","WDR73"
"Myopathy, myofibrillar, 1, 601419 (3)","MFM1"
"Glaucoma 1, open angle, F, 603383 (3)","GLC1F"
"Long QT syndrome 1, 192500 (3)","SQT2"
"Mitochondrial complex I deficiency, 252010 (3)","NDUFS6"
"Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay, 613076 (3)","GFER"
"[Thyroid-stimulating hormone level QTL 1] (2)","TSHQTL1"
"Thyroid carcinoma, papillary, with papillary renal neoplasia (2)","PTCPRN"
"Nephronophthisis 19, 616217 (3)","DCDC2"
"Popliteal pterygium syndrome, Bartsocas-Papas type, 263650 (3)","CHANDS"
"Hypogonadotropic hypogonadism 2 with or without anosmia, 147950 (3)","KAL2"
"Peroxisome biogenesis disorder 11B, 614885 (3)","PBD11A"
"Manitoba oculotrichoanal syndrome, 248450 (3)","C9orf154"
"Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy), 612075 (3)","P53R2"
"Erythrokeratodermia variabilis et progressiva 3, 617525 (3)","ODOD"
"Nephrotic syndrome, type 8, 615244 (3)","NPHS8"
"Catel-Manzke syndrome, 616145 (3)","TGDS"
"Pontocerebellar hypoplasia, type 10, 615803 (3)","HEAB"
"Rhabdoid tumors, somatic, 609322 (3)","SWNTS1"
"Anemia, sideroblastic, 3, pyridoxine-refractory, 616860 (3)","SPAHGC"
"Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency, 201910 (3)","CA21H"
"Geleophysic dysplasia 1, 231050 (3)","KIAA0605"
"Lethal congenital contracture syndrome 10, 617022 (3)","NC"
"TARP syndrome, 311900 (3)","TARPS"
"[?Hypertryptophanemia], 600627 (3)","TDO2"
"Nail-patella syndrome, 161200 (3)","LMX1B"
"Pseudopseudohypoparathyroidism, 612463 (3)","PHP1B"
"{Neural tube defects, susceptibility to}, 601634 (3)","MTHFR"
"Hyperglycinuria, 138500 (3)","HND"
"{Restless legs syndrome 8} (2)","RLS8"
"Colorectal cancer, somatic, 114500 (3)","MVA1"
"Oocyte maturation defect 3, 617712 (3)","OOMD3"
"Macular dystrophy, vitelliform, 3, 608161 (3)","RP7"
"Epileptic encephalopathy, early infantile, 63, 617976 (3)","CPLX1"
"Pregnancy loss, recurrent, 4, 270960 (3)","SYCP3"
"Renal tubular acidosis, distal, AR, 611590 (3)","SAO"
"{Craniosynostosis 7, susceptibility to}, 617439 (3)","AOVD2"
"Polyhydramnios, megalencephaly, and symptomatic epilepsy, 611087 (3)","STRADA"
"?Combined oxidative phosphorylation deficiency 22, 616045 (3)","ATPM"
"Multiple endocrine neoplasia IIB, 162300 (3)","HSCR1"
"{Mental health wellness-1} (2)","MHW1"
"Neuropathy, distal hereditary motor, type IIB, 608634 (3)","CMT2F"
"Bardet-Biedl syndrome 12, 615989 (3)","FLJ35630"
"Muscular dystrophy, limb-girdle, autosomal recessive 10, 608807 (3)","TTN"
"Parkinson disease, juvenile, type 2, 600116 (3)","PDJ"
"Pleuropulmonary blastoma, 601200 (3)","MNG1"
"{Bone mineral density variation QTL, osteoporosis}, 166710 (3)","COL1A1"
"Aniridia, 106210 (3)","PAX6"
"Epileptic encephalopathy, early infantile, 52, 617350 (3)","EIEE52"
"Malouf syndrome, 212112 (3)","LMN1"
"{Autism, susceptibility to, X-linked 5}, 300847 (3)","QM"
"Seizures, benign neonatal, 2, 121201 (3)","EBN2"
"HELIX syndrome, 617671 (3)","OSPL"
"Myopathy, congenital, with fiber-type disproportion, X-linked (2)","CFTDX"
"Epilepsy, familial focal, with variable foci 2, 617116 (3)","NPR2L"
"Enlarged vestibular aqueduct, 600791 (3)","FREAC6"
"Fibrosis of extraocular muscles, congenital, 1, 135700 (3)","KIAA1708"
"{Fatty liver disease, nonalcoholic, susceptibility to, 2} (2)","NAFLD2"
"Nephrotic syndrome, type 15, 617609 (3)","MAGI2"
"Facioscapulohumeral muscular dystrophy 1 (4)","FSHD1"
"Cataract 47, juvenile, with microcornea, 612018 (3)","CTRCT47"
"Bile acid synthesis defect, congenital, 3, 613812 (3)","CBAS3"
"Pitt-Hopkins-like syndrome 2, 614325 (3)","NRXN1"
"?Anemia, hypochromic microcytic, with iron overload 2, 615234 (3)","AHMIO2"
"Floating-Harbor syndrome, 136140 (3)","KIAA0309"
"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2, 614052 (3)","TMEM70"
"Glaucoma 1, open angle, G, 609887 (3)","WDR36"
"Spondyloepimetaphyseal dysplasia, Camera-Genevieve type, 610442 (3)","SEMDCG"
"{Thiopurines, poor metabolism of, 1}, 610460 (3)","TPMT"
"?Epiphyseal dysplasia, multiple, 6, 614135 (3)","COL9A1"
"?Premature ovarian failure 10, 612885 (3)","MCM8"
"Incontinentia pigmenti, 308300 (3)","FIP3"
"Neutropenia, severe congenital, 7, autosomal recessive, 617014 (3)","SCN7"
"Combined oxidative phosphorylation deficiency 15, 614947 (3)","COXPD15"
"Hypercalcemia, infantile, 2, 616963 (3)","HCINF2"
"Spinocerebellar ataxia 45, 617769 (3)","FAT2"
"?Trichotillomania, 613229 (3)","SLITRK1"
"Dyserythropoietic anemia, congenital, type III (2)","CDAN3"
"Erythermalgia, primary, 133020 (3)","GEFSP7"
"Capillary malformation-arteriovenous malformation 2, 618196 (3)","CMAVM2"
"?Deafness, autosomal dominant 71, 617605 (3)","RC3"
"Hypomagnesemia 2, renal, 154020 (3)","ATP1G1"
"Blepharophimosis, epicanthus inversus, and ptosis, type 2, 110100 (3)","PFRK"
"Mitochondrial complex II deficiency, 252011 (3)","PGL1"
"Thrombocytopenia-absent radius syndrome, 274000 (3)","RBM8B"
"{Dyslexia, susceptibility to, 1}, 127700 (3)","DYX1"
"Mental retardation, autosomal dominant 54, 617799 (3)","CAMK2B"
"CLOVE syndrome, somatic, 612918 (3)","MCAP"
"Craniofacial-skeletal-dermatologic dysplasia, 101600 (3)","TK14"
"?Focal cortical dysplasia, type II, somatic, 607341 (3)","LAM"
"Neuromuscular disease, congenital, with uniform type 1 fiber, 117000 (3)","RYR1"
"Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive type, 608971 (3)","IL7R"
"CAP myopathy 1, 609284 (3)","TPM3"
"Striatal degeneration, autosomal dominant, 609161 (3)","ADSD"
"Mohr-Tranebjaerg syndrome, 304700 (3)","DDP"
"Myopia 21, autosomal dominant, 614167 (3)","ZNF644"
"B-cell expansion with NFKB and T-cell anergy, 616452 (3)","PPBL"
"Multiple mitochondrial dysfunctions syndrome 1, 605711 (3)","HIRIP"
"Gastric cancer, somatic, 613659 (3)","HER2"
"[High density lipoprotein cholesterol level QTL 9] (3)","HDLCQ9"
"Hypodysfibrinogenemia, congenital, 616004 (3)","FGA"
"Immunodeficiency 20, 615707 (3)","FCGR3A"
"Joubert syndrome 25, 616781 (3)","KIAA0562"
"Mismatch repair cancer syndrome, 276300 (3)","COCA2"
"Synpolydactyly 3 (2)","SPD3"
"Succinyl CoA:3-oxoacid CoA transferase deficiency, 245050 (3)","SCOT"
"?Juvenile myelomonocytic leukemia, 607785 (3)","CBL"
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14, 615352 (3)","MDDGA14"
"Naxos disease, 601214 (3)","JUP"
"Bronchiectasis with or without elevated sweat chloride 1, 211400 (3)","SCNN1B"
"Episodic ataxia/myokymia syndrome, 160120 (3)","AEMK"
"[Dystransthyretinemic hyperthyroxinemia], 145680 (3)","PALB"
"Parietal foramina 2, 609597 (3)","FND2"
"{Moyamoya disease 2, susceptibility to}, 607151 (3)","MYMY2"
"{Psoriasis susceptibility 5} (2)","PSORS5"
"Growth hormone insensitivity, partial, 604271 (3)","GHIP"
"Neurodevelopmental disorder with spastic quadriplegia and brain abnormalities with or without seizures, 617977 (3)","NEDSBAS"
"Cardiomyopathy, dilated, 1L, 606685 (3)","SGD"
"Erythrocytosis 7, 617981 (3)","ECYT7"
"Polycystic liver disease 4 with or without kidney cysts, 617875 (3)","VBCH2"
"Chromosome 3q29 microdeletion syndrome (4)","DEL3q29"
"Ciliary dyskinesia, primary, 22, 615444 (3)","ZMYND10"
"Deafness, autosomal recessive 49, 610153 (3)","MARVELD2"
"Hyperprolinemia, type II, 239510 (3)","ALDH4A1"
"Cornelia de Lange syndrome 1, 122470 (3)","NIPBL"
"Ovarian dysgenesis 2, 300510 (3)","GDF9B"
"Pseudohypoparathyroidism, type IB, 603233 (3)","GNASAS1"
"Analbuminemia, 616000 (3)","ANALBA"
"GM1-gangliosidosis, type I, 230500 (3)","GLB1"
"{Colorectal cancer}, 114500 (3)","PLA2B"
"Brooke-Spiegler syndrome, 605041 (3)","CYLD"
"Epiphyseal dysplasia, multiple, 5, 607078 (3)","HOA"
"LEOPARD syndrome 1, 151100 (3)","JMML"
"Microphthalmia, isolated, with coloboma 9, 615145 (3)","TNM3"
"{Colorectal cancer, susceptibility to, 5} (2)","CRCS5"
"Pituitary hormone deficiency, combined, 4, 262700 (3)","LHX4"
"Polycystic kidney disease 6 with or without polycystic liver disease, 618061 (3)","HEDJ"
"?Meckel syndrome 8, 613885 (3)","JBTS24"
"Adrenal hypoplasia, congenital, 300200 (3)","SRXY2"
"Immunodeficiency 7, TCR-alpha/beta deficient, 615387 (3)","TRCA"
"Neuroblastoma, 256700 (3)","NME1"
"{Thyrotoxic periodic paralysis, susceptibility to, 1}, 188580 (3)","TTPP1"
"Axenfeld-Rieger syndrome, type 3, 602482 (3)","FKHL7"
"Immunodeficiency-centromeric instability-facial anomalies syndrome 4, 616911 (3)","HELLS"
"Periodontitis 1, juvenile, 170650 (3)","CPPI"
"Microcephaly, Amish type, 607196 (3)","DNC"
"Cataract 34, multiple types, 612968 (3)","ASGD2"
"Retinitis pigmentosa 49, 613756 (3)","CNGA1"
"Hypoplastic left heart syndrome 1, 241550 (3)","HSS"
"Marfan lipodystrophy syndrome, 616914 (3)","ECTOL1"
"Bardet-Biedl syndrome 13, 615990 (3)","MKS1"
"Hypogonadotropic hypogonadism 3 with or without anosmia, 244200 (3)","PROKR2"
"Leber congenital amaurosis 10, 611755 (3)","LCA10"
"Goiter, multinodular, 3 (2)","MNG3"
"Heart-hand syndrome, Slovenian type, 610140 (3)","HGPS"
"Barrett esophagus/esophageal adenocarcinoma, 614266 (3)","CTHRC1"
"CHIME syndrome, 280000 (3)","PIGL"
"Meningioma, radiation-induced (2)","MNRI"
"?Mitochondrial complex IV deficiency, 220110 (3)","KIAA0971"
"Colorectal cancer, somatic, 114500 (3)","EVR7"
"Lipodystrophy, familial partial, type 2, 151660 (3)","LMNA"
"Charcot-Marie-Tooth disease, axonal, type 20, 614228 (3)","DNECL"
"{Hyperlipidemia, familial combined, susceptibility to}, 602491 (3)","USF1"
"Leukodystrophy, hypomyelinating, 11, 616494 (3)","RPA39"
"Melanocytic nevus syndrome, congenital, somatic, 137550 (3)","NRAS"
"Hepatic adenoma, somatic, 142330 (3)","IDDM20"
"Myelokathexis, isolated (3)","WHIMS"
"Lethal congenital contracture syndrome 10, 617022 (3)","LCCS10"
"Dystonia 9, 601042 (3)","GLUT1"
"Surfactant metabolism dysfunction, pulmonary, 2, 610913 (3)","SFTPC"
"Xanthinuria, type II, 603592 (3)","MOCOS"
"{Leprosy, susceptibility to}, 246300 (3)","TIL4"
"Li-Fraumeni syndrome, 151623 (3)","TP53"
"Microphthalmia, isolated 4, 613094 (3)","GDF6"
"Cataract 14, multiple types, 601885 (3)","GJA3"
"?Partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome, 606721 (3)","BSCL3"
"Epidermolysis bullosa, junctional, non-Herlitz type, 226650 (3)","ERED"
"Spastic paraplegia 11, autosomal recessive, 604360 (3)","KIAA1840"
"Cardiomyopathy, hypertrophic, 25, 607487 (3)","CMH25"
"Atrial septal defect 7, with or without AV conduction defects, 108900 (3)","HLHS2"
"Leukemia, acute lymphocytic, somatic, 613065 (3)","PHL"
"Parkinson disease 14, autosomal recessive, 612953 (3)","PLA2G6"
"Ventricular tachycardia, catecholaminergic polymorphic, 3, 614021 (3)","SRD5A2L2"
"Hyperlipoproteinemia, type III, 617347 (3)","LPG"
"Mitochondrial complex III deficiency, nuclear type 7, 615824 (3)","UQCC2"
"Spinocerebellar ataxia 19, 607346 (3)","SCA19"
"{Thyroid cancer, nonmedullary, 4}, 616534 (3)","FOXE1"
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3, 253280 (3)","POMGNT1"
"{Schwannomatosis-1, susceptibility to}, 162091 (3)","SMARCB1"
"Optic atrophy 5, 610708 (3)","OPA5"
"?Hypotrichosis 3, 613981 (3)","KRT74"
"Osteopetrosis, autosomal recessive 1, 259700 (3)","TCIRG1"
"Epilepsy, generalized, with febrile seizures plus, type 2, 604403 (3)","EIEE6"
"Deafness, autosomal recessive 53, 609706 (3)","OSMEDA"
"Mosaic variegated aneuploidy syndrome 2, 614114 (3)","PIG8"
"Macular degeneration, age-related, 3, 608895 (3)","ARCL1A"
"?Cerebrooculofacioskeletal syndrome 2, 610756 (3)","COFS2"
"Wolfram-like syndrome, autosomal dominant, 614296 (3)","WFSL"
"?Short-rib thoracic dysplasia 20 with polydactyly, 617925 (3)","OFD17"
"Jawad syndrome, 251255 (3)","SCKL2"
"Lung cancer, somatic, 211980 (3)","NS"
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 8, 614830 (3)","C3orf39"
"Rubinstein-Taybi syndrome 2, 613684 (3)","RSTS2"
"Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3)","SEMDJL1"
"Mental retardation, autosomal recessive 47, 616193 (3)","MRT47"
"Jervell and Lange-Nielsen syndrome, 220400 (3)","LQT1"
"Hemochromatosis, type 2A, 602390 (3)","HJV"
"Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal dominant, 614254 (3)","NDHMSR"
"Osteosclerosis, 144750 (3)","OPPG"
"{Asthma, susceptibility to}, 600807 (3)","SCGB3A2"
"Immunodeficiency 28, mycobacteriosis, 614889 (3)","IFGR2"
"Wolfram-like syndrome, autosomal dominant, 614296 (3)","DFNA38"
"Coenzyme Q10 deficiency, primary, 3, 614652 (3)","DLP1"
"Vitreoretinochoroidopathy, 193220 (3)","VMD2"
"{Rheumatoid arthritis, susceptibility to}, 180300 (3)","PEP"
"Cerebrovascular disease, occlusive (3)","SERPINA3"
"Pigmented nodular adrenocortical disease, primary, 3, 614190 (3)","ADSD"
"Adenocarcinoma, colonic, somatic (3)","RAD54L"
"Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps, 611773 (3)","BSVD"
"Deafness, autosomal recessive 79, 613307 (3)","TPRN"
"Histiocytosis-lymphadenopathy plus syndrome, 602782 (3)","HCLAP"
"{Osteoarthritis-5}, 612400 (3)","CDMP1"
"Cleidocranial dysplasia, forme fruste, dental anomalies only, 119600 (3)","CBFA1"
"{Obesity, susceptibility to}, 601665 (3)","PDNP1"
"Coenzyme Q10 deficiency, primary, 1, 607426 (3)","COQ2"
"LADD syndrome, 149730 (3)","ACH"
"Tetralogy of Fallot, 187500 (3)","FOG2"
"Alstrom syndrome, 203800 (3)","KIAA0328"
"Spastic paraplegia 33, autosomal dominant, 610244 (3)","SPG33"
"{Myelodysplastic syndrome, susceptibility to}, 614286 (3)","IMD21"
"Cole disease, 615522 (3)","ARHR2"
"Cerebral palsy, spastic quadriplegic, 2, 612900 (3)","CPSQ2"
"Multisystemic smooth muscle dysfunction syndrome, 613834 (3)","AAT6"
"?Optic atrophy 9, 616289 (3)","ICRD"
"Left ventricular noncompaction 3, 601493 (3)","KIAA01613"
"Atransferrinemia, 209300 (3)","TFQTL1"
"Epileptic encephalopathy, early infantile, 30, 616341 (3)","EIEE30"
"Hyperuricemic nephropathy, familial juvenile, 3 (2)","HNFJ3"
"Robinow syndrome, autosomal dominant 1, 180700 (3)","WNT5A"
"Congenital disorder of glycosylation, type IIn, 616721 (3)","CDG2N"
"Thrombocytopenia with beta-thalassemia, X-linked, 314050 (3)","XLANP"
"{Scoliosis, idiopathic, susceptibility to, 5} (2)","IS5"
"?EEC syndrome-1 (2)","EEC1"
"Diabetes mellitus, transient neonatal, 3, 610582 (3)","HHF2"
"Hypoplastic left heart syndrome 1, 241550 (3)","ODOD"
"Branchiootic syndrome 1, 602588 (3)","BOS1"
"Porokeratosis 2, palmar, plantar, and disseminated (2)","PPPD1"
"Anterior segment dysgenesis 7, with sclerocornea, 269400 (3)","PXDN"
"Epilepsy, pyridoxine-dependent, 266100 (3)","EPD"
"Epileptic encephalopathy, early infantile, 25, 615905 (3)","NACT"
"Geroderma osteodysplasticum, 231070 (3)","GO"
"?Aplasia cutis congenita, nonsyndromic, 107600 (3)","BMS1L"
"?Lipodystrophy, familial partial, type 5, 615238 (3)","CIDE3"
"Ovarian dysgenesis 2, 300510 (3)","POF4"
"Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 1, 613155 (3)","MDDGA1"
"[Blood group, globoside system], 615021 (3)","GLOB"
"?Complement factor B deficiency, 615561 (3)","CFB"
"Multiple synostoses syndrome 4, 617898 (3)","SYNS4"
"Retinitis pigmentosa 14, 600132 (3)","LCA15"
"Coffin-Siris syndrome 3, 614608 (3)","SWNTS1"
"Heterotopia, periventricular, 1, 300049 (3)","OPD1"
"Cowden syndrome 5, 615108 (3)","CLAPO"
"[Low density lipoprotein cholesterol level QTL 8], 618079 (3)","EPLIN"
"Hypophosphatasia, adult, 146300 (3)","ALPL"
"Terminal osseous dysplasia, 300244 (3)","NHBP"
"Retinitis pigmentosa, juvenile, 613341 (3)","LRAT"
"Venous malformations, multiple cutaneous and mucosal, 600195 (3)","TIE2"
"Amelogenesis imperfecta, type 1E, 301200 (3)","AMG"
"Periventricular heterotopia with microcephaly, 608097 (3)","BIG2"
"Alacrima, achalasia, and mental retardation syndrome, 615510 (3)","GMPPA"
"Nephropathy, progressive, with deafness (2)","NEDE"
"Char syndrome, 169100 (3)","PDA2"
"Mucopolysaccharidosis II, 309900 (3)","IDS"
"Chromosome 22q11.2 deletion syndrome, distal (4)","DEL22q11.2"
"Endocrine-cerebroosteodysplasia, 612651 (3)","EJM10"
"Neuropathy, hereditary sensory, type IB (2)","HSN1B"
"{Hemolytic uremic syndrome, atypical, susceptibility to, 4}, 612924 (3)","BF"
"Riboflavin deficiency, 615026 (3)","RBFVD"
"{Restless legs syndrome 2} (2)","RLS2"
"Deafness, autosomal recessive 111, 618145 (3)","MPZL2"
"Maple syrup urine disease, type Ia, 248600 (3)","MSUD1"
"46XY sex reversal 1, 400044 (3)","SRXY1"
"Cryohydrocytosis, 185020 (3)","SAO"
"Immunodeficiency-centromeric instability-facial anomalies syndrome 2, 614069 (3)","ZNF450"
"Lymphoproliferative syndrome 2, 615122 (3)","S152. LPFS2"
"Mental retardation, X-linked 3 (methylmalonic acidemia and homocysteinemia, cblX type ), 309541 (3)","HCFC1"
"Muscular dystrophy, limb-girdle, autosomal dominant 3, 609115 (3)","HNRPDL"
"[Hematocrit/hemoglobin quantitative trait locus 3] (2)","HCHGQ3"
"?Waisman syndrome, 311510 (3)","RAB39B"
"Craniofacial-skeletal-dermatologic dysplasia, 101600 (3)","FGFR2"
"Nephronophthisis 7, 611498 (3)","GLIS2"
"Pituitary adenoma 3, multiple types, somatic, 617686 (3)","AHO"
"Deafness autosomal recessive 106, 617637 (3)","DFNB106"
"Epidermolysis bullosa simplex, Weber-Cockayne type, 131800 (3)","DDD1"
"Microcephaly 7, primary, autosomal recessive, 612703 (3)","STIL"
"Mirror movements 2, 614508 (3)","FANCR"
"{Melanoma, cutaneous malignant, 2}, 155601 (3)","MTS1"
"Hypotonia, infantile, with psychomotor retardation and characteristic facies 1, 615419 (3)","CLIFAHDD"
"?Retinal dystrophy and obesity, 616188 (3)","TUB"
"Hernia, congenital diaphragmatic 2 (2)","DIH2"
"Myopathy, distal, with rimmed vacuoles, 617158 (3)","FTDALS3"
"Mental retardation, autosomal dominant 1, 156200 (3)","MRD1"
"?Dyskinesia, seizures, and intellectual developmental disorder, 617171 (3)","DEAF1"
"{Coronary artery disease, modifier of} (3)","CCL2"
"Caffey disease, 114000 (3)","EDSARTH1"
"Exudative vitreoretinopathy 4, 601813 (3)","LRP7"
"Glomerulosclerosis, focal segmental, 5, 613237 (3)","FSGS5"
"Charcot-Marie-Tooth disease, type 4B1, 601382 (3)","CMT4B1"
